#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
137,Ус ашиглах гэрээ,,,2023-06-08,Contract,,,,,ocds-591adf-MN9305368173RC,,
138,Нийгмийн хариуцлагын гэрээ,,,2023-06-07,Contract,,,,,ocds-591adf-MN8350436610RC,,
139,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-06-07,Contract,,,Сөртийн хошуу,,ocds-591adf-MN4441764139RC,,
140,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-06-02,Contract,,,,,ocds-591adf-MN6648229750RC,,
141,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай гэрээ",,,2023-06-01,Contract,,,Өвөрчулуут,,ocds-591adf-MN5899028825RC,,
142,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-31,Contract,,,,,ocds-591adf-MN9362960755RC,,
143,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-31,Contract,,,,,ocds-591adf-MN7047566203RC,,
144,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-31,Contract,,,,,ocds-591adf-MN9823232288RC,,
145,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-31,Contract,,,,,ocds-591adf-MN3999511876RC,,
146,Орон нутгийн хамтын ажиллагааны гэрээ 2023-11,,,2023-05-22,Contract,,,Премиум көүл ХХК,,ocds-591adf-MN5240141240RC,,
147,Орон нутгийн хамтын ажиллагааны гэрээ 2023-7,,,2023-05-21,Contract,,,Эрдэнийн босго ХХК,,ocds-591adf-MN4742771168RC,,
148,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-17,Contract,,,Голын хүрэн,,ocds-591adf-MN9737564350RC,,
149,Хүннү-Алтай минериалс ХХк-ийн нийгмийн хариуцлагын гэрээ,,,2023-05-16,Contract,,,,,ocds-591adf-MN8215411515RC,,
150,Орон нутгийн хамтын ажиллагааны гэрээ 2023-10,,,2023-05-10,Contract,,,Эрдэнийн олз ХХК,,ocds-591adf-MN1553545712RC,,
151,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-10,Contract,,,Улаан өндөр-1,,ocds-591adf-MN3704092459RC,,
152,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-10,Contract,,,,,ocds-591adf-MN8061437302RC,,
153,Орон нутгийн хамтын ажиллагааны гэрээ 2023-9,,,2023-05-09,Contract,,,Эрээн толгой ХХК,,ocds-591adf-MN7525002635RC,,
154,Орон нутгийн хамтын ажиллагааны гэрээ 2023-8,,,2023-05-09,Contract,,,Бадмаараг хаш ХХК,,ocds-591adf-MN4554817820RC,,
155,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-09,Contract,,,Шалз-8,,ocds-591adf-MN6518975851RC,,
156,Орон нутгийн хамтын ажиллагааны гэрээ 2023-6,,,2023-05-09,Contract,,,Цэгээн Үүдэн ХХК,,ocds-591adf-MN4052013996RC,,
157,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-08,Contract,,,Шалз-7,,ocds-591adf-MN2887991032RC,,
158,Орон нутгийн хамтын ажиллагааны гэрээ 2023-4,,,2023-05-08,Contract,,,Каскейд майнинг ХХК,,ocds-591adf-MN5135667771RC,,
159,Орон нутгийн хамтын ажиллагааны гэрээ 2023-5,,,2023-05-08,Contract,,,Олгойбулаг ХХК,,ocds-591adf-MN7094053771RC,,
160,Орон нутгийн хамтын ажиллагааны гэрээ 2023-3,,,2023-05-08,Contract,,,Эф Жи Пи Эм ХХК,,ocds-591adf-MN7899681595RC,,
161,Орон нутгийн хамтын ажиллагааны гэрээ 2023-2,,,2023-05-08,Contract,,,Хунт өгөөж ХХК,,ocds-591adf-MN2947564339RC,,
162,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-04,Contract,,,Шалз-9,,ocds-591adf-MN3359192334RC,,
163,"Сод газар ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-05-04,Contract,,,Содгазар,,ocds-591adf-MN4905877492RC,,
164,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-05-01,Contract,,,,,ocds-591adf-MN4412900635RC,,
165,ус ашиглах гэрээ,,,2023-04-17,Model Contract,,,Тоосго,,ocds-591adf-MN1904594028RC,,
166,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-04-17,Contract,,,Хөлийн холбоо-1,,ocds-591adf-MN9813132855RC,,
167,Орон нутгийн хамтын ажиллагааны гэрээ 2023-1,,,2023-04-17,Model Contract,,,Цайрт минерал ХХК,,ocds-591adf-MN7549379134RC,,
168,Ус ашиглах гэрээ,,,2023-04-13,Contract,,,,,ocds-591adf-MN2582356325RC,,
169,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-04-12,Contract,,,Сүүдэрт-1,,ocds-591adf-MN3406100766RC,,
170,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-04-12,Contract,,,Гүний ам,,ocds-591adf-MN6694664533RC,,
171,Ус ашиглах гэрээ,,,2023-04-10,Contract,,,,,ocds-591adf-MN3787654537RC,,
172,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-04-04,Contract,,,Жоншит ухаагийн баруун энгэр,,ocds-591adf-MN0341949073RC,,
173,"Рийлзон ресурс ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-04-01,Contract,,,РИйлзон ресурс,,ocds-591adf-MN4949367921RC,,
174,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-03-29,Contract,,,,,ocds-591adf-MN7858610412RC,,
175,"Рагнарок инвестмент ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-03-29,Contract,,,Тайшир,,ocds-591adf-MN5771171844RC,,
176,Ус ашиглах гэрээ-Эрдэнэт үйлдвэр ТӨҮГ-2023 он,,Contract on water use,2023-03-29,Model Contract,,,,,ocds-591adf-MN1879659833RC,,
177,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-03-07,Contract,,,Хөлийн холбоо-3,,ocds-591adf-MN3347799995RC,,
178,Бичил уурхайн гэрээ,,,2023-03-03,Social Agreement,,,,,ocds-591adf-MN4342774054RC,,
179,"Байгаль Орчныг хамгаалах, уурхай ашиглах, ажлын байр нэмэгдүүлэх тухай 2023 оны хамтын ажиллагааны гэрээ",,,2023-03-01,Contract,,,Баян-Өлгий Цэнгэл сумын нутаг дэвсгэрт “Цагаан овоот уул”-ын алтны үндсэн орд,,ocds-591adf-MN4455032627RC,,
180,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-27,Contract,,,Улаан өндөр-2,,ocds-591adf-MN6783275826RC,,
181,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-20,Contract,,,Шалз-8,,ocds-591adf-MN7584649535RC,,
182,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-15,Contract,,,Бор цохио-1,,ocds-591adf-MN3866566526RC,,
183,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-02-14,Contract,,,Баянголын,,ocds-591adf-MN4264878124RC,,
184,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN2242565999RC,,
185,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN7550775285RC,,
186,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN9485136463RC,,
187,"ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН  2023 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,Memorandum of Understanding,2023-02-01,Model Contract,,,,,ocds-591adf-MN0251206876RC,,
188,"ОРХОН АЙМАГ, “ЭРДМИН” ХХК-ИЙН  2023 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,Memorandum of Understanding,2023-02-01,Model Contract,,,,,ocds-591adf-MN2239551339RC,,
189,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN2357114660RC,,
190,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN0755186986RC,,
191,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN1835404733RC,,
192,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-02-01,Contract,,,,,ocds-591adf-MN9280312208RC,,
193,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN6593221450RC,,
194,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-02-01,Contract,,,,,ocds-591adf-MN8020164147RC,,
195,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-02-01,Contract,,,,,ocds-591adf-MN6830985664RC,,
196,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN2534653606RC,,
197,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN8474943571RC,,
198,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-02-01,Contract,,,,,ocds-591adf-MN8310703973RC,,
199,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN1671957197RC,,
200,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN4731463049RC,,
201,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-02-01,Contract,,,,,ocds-591adf-MN5230724877RC,,
202,Бичил уурхайн гэрээ,,,2023-01-26,Social Agreement,,,,,ocds-591adf-MN8545365966RC,,
203,Бичил уурхайн гэрээ,,,2023-01-26,Social Agreement,,,,,ocds-591adf-MN0542099352RC,,
204,"Хан-Алтай ХХК-ийн байгаль орчин, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай нийгмийн хариуцлагын гэрээ",,,2023-01-20,Contract,,,Хан -Алтай алтны үндсэн орд,,ocds-591adf-MN3862509016RC,,
205,Бичил уурхайн гэрээ,,,2023-01-19,Social Agreement,,,,,ocds-591adf-MN1978325015RC,,
206,Бичил уурхайн гэрээ,,,2023-01-19,Social Agreement,,,,,ocds-591adf-MN9195600089RC,,
207,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN8240626616RC,,
208,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN2455604777RC,,
209,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN9517985392RC,,
210,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN8299817675RC,,
211,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN1253813829RC,,
212,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN6361542784RC,,
213,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN1563516971RC,,
214,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN9314843313RC,,
215,Бичил уурхайн гэрээ,,,2023-01-16,Social Agreement,,,,,ocds-591adf-MN8293620447RC,,
216,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN4695630983RC,,
217,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN7799447110RC,,
218,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN8917308988RC,,
219,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN0270565712RC,,
220,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN9228992709RC,,
221,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN8768633331RC,,
222,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN6646896231RC,,
223,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN9558294410RC,,
224,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN2183245814RC,,
225,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN3330255869RC,,
226,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN6418851048RC,,
227,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN4303328708RC,,
228,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN8598540308RC,,
229,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN3787271647RC,,
230,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN2574580986RC,,
231,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN8786607727RC,,
232,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN1460401150RC,,
233,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN4140878151RC,,
234,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN2326292867RC,,
235,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,Artisanal mining agreement,2023-01-08,Contract,,,Бор хавцал,,ocds-591adf-MN4888730111RC,,
236,Хотгор ХХК-ий 2023 оны хамтын ажиллагааны гэрээ,,,2023-01-04,Social Agreement,,,Хотгор,,ocds-591adf-MN0657392306RC,,
237,Жанат ХХК-ий 2023 оны хамтын ажиллагааны гэрээ,,,2023-01-03,Social Agreement,,,Нүүрст Хотгор,,ocds-591adf-MN9804824908RC,,
238,"БОАЖЯ, АМГТГ,МХЕГ, Сэлэнгэ аймаг болон Хонгорын орд ХХК-ын хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2022-12-25,Contract,,,Наран алтны шороон орд,,ocds-591adf-MN2985996052RC,,
239,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN3044497506RC,,
240,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN3428349425RC,,
241,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN9859031351RC,,
242,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN2580843540RC,,
243,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN1100404675RC,,
244,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN3510776562RC,,
245,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN2279868249RC,,
246,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN9441251484RC,,
247,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN5605354748RC,,
248,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2022-11-25,Contract,,,,,ocds-591adf-MN7625632522RC,,
