#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
297,"БАЙГАЛЬ ОРЧНЫГ ХАМГААЛАХ, УУРХАЙ АШИГЛАХ, ҮЙЛДВЭР БАЙГУУЛАХТАЙ ХОЛБОГДСОН ДЭД БҮТЦИЙГ ХӨГЖҮҮЛЭХ, АЖЛЫН БАЙР НЭМЭГДҮҮЛЭХЭД ХАМТРАН АЖИЛЛАХ ГЭРЭЭ",,Other,2021-10-01,Contract,,,БОЛДГЯНТБОЛД,,ocds-591adf-MN1733987540RC,,
298,Хамтран ажиллах гэрээ,,,2021-09-29,Contract,,,Төмрийн хүдэр баяжуулах үйлдвэр,,ocds-591adf-MN8302343803RC,,
299,Нийгмийн хариуцлагын гэрээ,,,2021-09-03,Social Agreement,,,Шавар олборлолт,,ocds-591adf-MN2533684239RC,,
300,НИЙГМИЙН ХАРИУЦЛАГЫН ГЭРЭЭ-ХАН АЛТАЙ РЕСУРС ХХК,,Other,2021-09-01,Contract,,,ХАН АЛТАЙ,,ocds-591adf-MN9598179025RC,,
301,Ус ашиглах гэрээ Очир төв ХХК,,Contract on water use,2021-08-31,Contract,,,,,ocds-591adf-MN7102024897RC,,
302,Нийгмийн хариуцлагын гэрээ,,,2021-08-24,Social Agreement,,,"Элс, хайрга олборлолт",,ocds-591adf-MN0288809476RC,,
303,Ус ашиглах гэрээ,,,2021-08-13,Contract,,,Алтны үндсэн орд ашиглах,,ocds-591adf-MN3884971962RC,,
304,Хамтран ажиллах гэрээ,,,2021-07-30,Contract,,,МАК цементийн үйлдвэр,,ocds-591adf-MN8190746144RC,,
305,Хамтран ажиллах гэрээ- МАК Цемент ХХК,,,2021-07-30,Contract,,,,,ocds-591adf-MN4214472864RC,,
306,Хамтран ажиллах гэрээ,,,2021-07-30,Contract,,,Молибдены үйлдвэр,,ocds-591adf-MN9613571029RC,,
307,"Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ",,,2021-07-29,Contract,,,,,ocds-591adf-MN0729264473RC,,
308,"Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ",,,2021-07-29,Social Agreement,,,,,ocds-591adf-MN7924461096RC,,
309,Нийгмийн хариуцлагын талаар хамтран ажиллах гэрээ,,,2021-07-25,Contract,,,Алт,,ocds-591adf-MN7036236964RC,,
310,Ус ашиглах гэрээ ЭРДЭНЭТ ҮЙЛДВЭР ТӨҮГ,,Contract on water use,2021-07-24,Contract,,,,,ocds-591adf-MN6326350560RC,,
311,Нийгмийн хариуцлагын гэрээ,,,2021-07-19,Social Agreement,,,"Элс, хайрга олборлолт",,ocds-591adf-MN5051142138RC,,
312,"ОРХОН АЙМАГ, “ЭРДМИН"" ХХК-ИЙН 2021-2023 ОНД ХАМТРАН АЖИЛЛАХ ГЭРЭЭ",,,2021-07-02,Contract,,,,,ocds-591adf-MN8894220654RC,,
313,"БОАЖЯ,Сэлэнгэ аймгийн засаг дарга, АМГТГ, МХЕГ, Бугантнандин ХХК-ийн MV-0005959 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ",,,2021-06-28,Contract,,,Вершина толгойт алтны шороон орд,,ocds-591adf-MN4225383039RC,,
314,Нийгмийн хариуцлагын гэрээ,,,2021-06-11,Social Agreement,,,"Элс, хайрга олборлолт",,ocds-591adf-MN4577876596RC,,
315,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааны гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN8369607822RC,,
316,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааын гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN9145139744RC,,
317,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааын гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN4459471980RC,,
318,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааны гэрээ",,Localcooperation agreement,2021-06-05,Contract,,,,,ocds-591adf-MN9578187509RC,,
319,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааны гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN8608553861RC,,
320,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааны гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN1741688704RC,,
321,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэх тухай хамтын ажиллагааны гэрээ",,,2021-06-05,Contract,,,,,ocds-591adf-MN9997268902RC,,
322,Ус ашиглах гэрээ,,,2021-05-19,Contract,,,,,ocds-591adf-MN2405811283RC,,
323,Нийгмийн хариуцлагын гэрээ,,,2021-05-14,Social Agreement,,,"Элс, хайрга олборлолт",,ocds-591adf-MN0265566969RC,,
324,Нийгмийн хариуцлагын талаар хамтран ажиллах гэрээ,,,2021-05-13,Contract,,,Алт,,ocds-591adf-MN9991776817RC,,
325,Ус бохирдуулсны төлбөрийн гэрээ,,Other,2021-05-10,Contract,,,Оцог хад гянтболдын уурхай,,ocds-591adf-MN5556813040RC,,
326,Нийгмийн хариуцлагын талаар хамтран ажиллах гэрээ,,,2021-05-06,Contract,,,Нүүрсний орд,,ocds-591adf-MN5194569680RC,,
327,Нийгмийн хариуцлагын талаар хамтран ажиллах гэрээ,,,2021-05-03,Contract,,,Алт,,ocds-591adf-MN1827457424RC,,
328,Ус ашиглах гэрээ,,,2021-04-28,Contract,,,Баянхайрхан,,ocds-591adf-MN1466076356RC,,
329,Ус ашиглах гэрээ,,,2021-04-27,Contract,,,,,ocds-591adf-MN3127040911RC,,
330,Нийгмийн хариуцлагын талаар хамтран ажиллах гэрээ,,,2021-04-09,Contract,,,Алт,,ocds-591adf-MN3025519857RC,,
331,Нэтэнт ХХК 2021 он хамтран ажиллах гэрээ,,,2021-04-01,Contract,,,,,ocds-591adf-MN3103332937RC,,
332,Энержи Импайр ХХК 2021 он хамтран ажиллах гэрээ,,,2021-04-01,Contract,,,,,ocds-591adf-MN2760079579RC,,
333,Ус ашиглах гэрээ АЧИТ ИХТ ХХК,,,2021-03-22,Contract,,,,,ocds-591adf-MN3562899489RC,,
334,Нийгмийн хариуцлагын гэрээ,,,2021-03-01,Contract,,,Цагаановоот уул,,ocds-591adf-MN8559725559RC,,
335,"Байгаль орчныг хамгаалах, дэд бүтцийг хөгжүүлэх, ажлын байр нэмэгдүүлэхэд хамтран ажиллах гэрээ",,Localcooperation agreement,2021-01-25,Contract,,,,,ocds-591adf-MN1922433504RC,,
336,Ус бохирдуулсны төлбөрийн гэрээ,,Other,2021-01-25,Contract,,,Хөшөөтийн нүүрсний уурхай,,ocds-591adf-MN9556911435RC,,
337,"""Хотгор ХХК"" 2021 он Хамтран ажиллах гэрээ",,,2021-01-19,Contract,,,Нүүрст хотгор,,ocds-591adf-MN0297001062RC,,
338,"ОРХОН АЙМАГ, “АЧИТ-ИХТ” ХХК-ИЙН 2021-2023 ОНД ХАМТРАН АЖИЛЛАХ ГЭРЭЭ",,,2020-12-30,Contract,,,,,ocds-591adf-MN6602118927RC,,
339,"Иргэн, хуулийн этгээдэд газар эзэмшүүлэх гэрээ Очир төв ХХК",,Land Lease Agreement,2020-12-09,Contract,,,,,ocds-591adf-MN2755494183RC,,
340,"БОАЖЯ, Хэнтий аймгийн Засаг дарга, АМГТГ, МХЕГ болон Алтай хангайн бүрд ХХК-ийн MV-006505 тоот тусгай зөвшөөрлийн талбайд холбогдох арга хэмжээ авах, нөхөн сэргээх үйл ажиллагааны гэрээ",,Other,2020-09-10,Contract,,,Сайхан гол алтны шороон орд,,ocds-591adf-MN2905501005RC,,
341,Хамтран ажиллах гэрээ,,Localcooperation agreement,2020-09-06,Contract,,,,,ocds-591adf-MN6182333114RC,,
342,"Иргэн, хуулийн этгээдэд газар эзэмшүүлэх гэрээ Эрдэнэт ТӨҮГ",,Land Lease Agreement,2020-06-11,Contract,,,,,ocds-591adf-MN9013480478RC,,
343,ХАМТЫН АЖИЛЛАГААНЫ ГЭРЭЭ,,Localcooperation agreement,2020-06-08,Contract,,,,,ocds-591adf-MN2958139424RC,,
344,Бүрдэл майнинг ХХК-ийн Нийгмийн хариуцлагын гэрээ,,,2020-05-15,Social Agreement,,,,,ocds-591adf-MN2853144669RC,,
345,Хос хас ХХК-ийн нийгмийн хариуцлагын гэрээ,,,2020-05-15,Contract,,,,,ocds-591adf-MN9482578238RC,,
346,ХОТУ ХХК-ийн Нийгмийн хариуцлагын гэрээ,,,2020-05-15,Contract,,,,,ocds-591adf-MN6505125877RC,,
347,Тэнгэрийн хорвоонжиг ХХК-ийн Нийгмийн хариуцлагын гэрээ,,,2020-05-15,Contract,,,,,ocds-591adf-MN8834054577RC,,
348,Гэрэлт шинэчлэл ХХК-ийн нийгмийн хариуцлагын гэрээ,,,2020-05-15,Contract,,,,,ocds-591adf-MN5962867084RC,,
349,Монполимет ХХК-ийн Нийгмийн хариуцлагын гэрээ,,,2020-05-15,Contract,,,,,ocds-591adf-MN6938831899RC,,
